entity_id,type,debit,credit,amount,fee,tax,settlement_id,settlement_utr,order_id,settled_at
acc_genfin_demo01,settlement,0.0,36253.54,36253.54,0.0,0.0,SETL-42-000001,UTR221761311697,,2025-10-05
acc_genfin_demo01,settlement,0.0,44021.97,44021.97,0.0,0.0,SETL-42-000002,UTR823332396729,,2026-01-12
acc_genfin_demo01,settlement,0.0,37569.27,37569.27,0.0,0.0,SETL-42-000003,UTR768953961768,,2025-05-07
acc_genfin_demo01,settlement,0.0,96541.39,96541.39,0.0,0.0,SETL-42-000004,UTR651165370653,,2025-05-26
acc_genfin_demo01,settlement,0.0,23111.25,23111.25,0.0,0.0,SETL-42-000005,UTR856177113016,,2025-11-14
acc_genfin_demo01,settlement,0.0,96421.79,96421.79,0.0,0.0,SETL-42-000006,UTR430896782012,,2025-06-19
acc_genfin_demo01,settlement,0.0,8310.97,8310.97,0.0,0.0,SETL-42-000007,UTR681350619982,,2026-02-27
acc_genfin_demo01,settlement,0.0,79423.51,79423.51,0.0,0.0,SETL-42-000008,UTR459470564715,,2026-04-20
acc_genfin_demo01,settlement,0.0,57420.19,57420.19,0.0,0.0,SETL-42-000009,UTR298825869172,,2025-10-07
acc_genfin_demo01,settlement,0.0,38538.37,38538.37,0.0,0.0,SETL-42-000010,UTR723375282628,,2025-11-04
acc_genfin_demo01,settlement,0.0,27986.58,28016.08,25.0,4.5,SETL-42-000011,UTR974182875243,,2025-05-20
acc_genfin_demo01,settlement,0.0,27546.35,27546.35,0.0,0.0,SETL-42-000012,UTR109593982498,,2025-02-23
acc_genfin_demo01,settlement,0.0,23951.57,23957.47,5.0,0.9,SETL-42-000013,UTR112093704864,,2025-12-01
acc_genfin_demo01,settlement,0.0,48205.17,48205.17,0.0,0.0,SETL-42-000014,UTR948497111493,,2026-04-02
acc_genfin_demo01,settlement,0.0,19600.0,19600.0,0.0,0.0,SETL-42-000015,UTR279176154283,,2026-05-01
acc_genfin_demo01,settlement,0.0,51764.39,51793.89,25.0,4.5,SETL-42-000016,UTR454314152761,,2026-04-21
